x,y,date,id,real
576566.4866531452,7881875.54501074,2010-01-01T00:00:00Z,AG195,TRUE
576553.615113605,7881841.60321193,2010-01-01T00:20:00Z,AG195,TRUE
576548.1557410561,7881840.72543166,2010-01-01T00:40:00Z,AG195,TRUE
576547.6161835089,7881839.602003351,2010-01-01T01:00:00Z,AG195,TRUE
576546.9884251889,7881842.98165404,2010-01-01T01:20:00Z,AG195,TRUE
576543.9744123471,7881838.49150835,2010-01-01T01:40:00Z,AG195,TRUE
576544.088893829,7881840.29211563,2010-01-01T02:00:00Z,AG195,TRUE
576543.326943746,7881837.14339426,2010-01-01T02:20:00Z,AG195,TRUE
576534.9680440681,7881833.5760711,2010-01-01T02:40:00Z,AG195,TRUE
576542.885912387,7881833.99333497,2010-01-01T03:00:00Z,AG195,TRUE
576545.6709610721,7881834.88226638,2010-01-01T03:20:00Z,AG195,TRUE
576426.2314321261,7881770.09053061,2010-01-01T03:40:00Z,AG195,TRUE
576290.190257152,7881725.85436918,2010-01-01T04:00:00Z,AG195,TRUE
576200.9002670541,7881733.8797916,2010-01-01T04:20:00Z,AG195,TRUE
576142.6397593359,7881692.021190049,2010-01-01T04:40:00Z,AG195,TRUE
576092.9425159239,7881625.58716297,2010-01-01T05:00:00Z,AG195,TRUE
576068.7538858409,7881622.53551016,2010-01-01T05:20:00Z,AG195,TRUE
576008.006923945,7881496.71130936,2010-01-01T05:40:00Z,AG195,TRUE
576002.1452372491,7881424.467118021,2010-01-01T06:00:00Z,AG195,TRUE
575994.037645638,7881404.01336318,2010-01-01T06:20:00Z,AG195,TRUE
576026.7533704252,7881270.59771764,2010-01-01T06:40:00Z,AG195,TRUE
576041.3612644481,7881233.389855521,2010-01-01T07:00:00Z,AG195,TRUE
576042.5768074992,7881216.949930821,2010-01-01T07:20:00Z,AG195,TRUE
576018.472122018,7881182.37891975,2010-01-01T07:40:00Z,AG195,TRUE
576060.0488164519,7881122.32063295,2010-01-01T08:00:00Z,AG195,TRUE
576228.7241244611,7881066.68776343,2010-01-01T08:20:00Z,AG195,TRUE
576433.8928052969,7881169.39687078,2010-01-01T08:40:00Z,AG195,TRUE
576425.8071214961,7881205.6773813,2010-01-01T09:00:00Z,AG195,TRUE
576441.2191209359,7881207.63942201,2010-01-01T09:20:00Z,AG195,TRUE
576432.35407921,7881133.83184354,2010-01-01T09:40:00Z,AG195,TRUE
576077.709473636,7880763.606516279,2010-01-01T10:00:00Z,AG195,TRUE
575854.9046779841,7880377.97118978,2010-01-01T10:20:00Z,AG195,TRUE
575729.859883215,7880351.6966382805,2010-01-01T10:40:00Z,AG195,TRUE
575613.1094927859,7880495.13918842,2010-01-01T11:00:00Z,AG195,TRUE
575504.4300706651,7880572.80817469,2010-01-01T11:20:00Z,AG195,TRUE
575487.4448175931,7880578.28130965,2010-01-01T11:40:00Z,AG195,TRUE
575445.5847636651,7880595.56376179,2010-01-01T12:00:00Z,AG195,TRUE
575448.362161599,7880594.6518004,2010-01-01T12:20:00Z,AG195,TRUE
575447.612478015,7880594.4297476,2010-01-01T12:40:00Z,AG195,TRUE
575338.5185525639,7880753.823493,2010-01-01T13:00:00Z,AG195,TRUE
574759.5102762101,7881202.63406783,2010-01-01T13:20:00Z,AG195,TRUE
574256.3097139959,7881279.196322281,2010-01-01T13:40:00Z,AG195,TRUE
573601.775610428,7881604.45001638,2010-01-01T14:00:00Z,AG195,TRUE
573341.4110470561,7881579.37647057,2010-01-01T14:20:00Z,AG195,TRUE
573285.382574068,7881666.05171581,2010-01-01T14:40:00Z,AG195,TRUE
573304.276928836,7881709.652295351,2010-01-01T15:00:00Z,AG195,TRUE
573324.3093705641,7881716.776589759,2010-01-01T15:20:00Z,AG195,TRUE
573340.9645537521,7881708.60523589,2010-01-01T15:40:00Z,AG195,TRUE
573343.1046519108,7881601.657983011,2010-01-01T16:00:00Z,AG195,TRUE
573392.557327762,7881555.98324739,2010-01-01T16:20:00Z,AG195,TRUE
573511.0750585459,7881527.3672629,2010-01-01T16:40:00Z,AG195,TRUE
573770.8127145912,7881449.77964446,2010-01-01T17:00:00Z,AG195,TRUE
573967.5234416702,7881447.18698468,2010-01-01T17:20:00Z,AG195,TRUE
574032.3916409512,7881431.391207069,2010-01-01T17:40:00Z,AG195,TRUE
574055.9731808469,7881443.228214711,2010-01-01T18:00:00Z,AG195,TRUE
574058.785077369,7881424.30557325,2010-01-01T18:20:00Z,AG195,TRUE
574182.2462496288,7881401.74387002,2010-01-01T18:40:00Z,AG195,TRUE
574221.6557850569,7881359.70953235,2010-01-01T19:00:00Z,AG195,TRUE
574204.468321505,7881315.427509561,2010-01-01T19:20:00Z,AG195,TRUE
574238.5800519182,7881180.20880751,2010-01-01T19:40:00Z,AG195,TRUE
574259.2179790091,7881099.07684664,2010-01-01T20:00:00Z,AG195,TRUE
574275.205077268,7881005.356129801,2010-01-01T20:20:00Z,AG195,TRUE
574312.2891124651,7880917.62860506,2010-01-01T20:40:00Z,AG195,TRUE
574346.8981055391,7880905.556287829,2010-01-01T21:00:00Z,AG195,TRUE
574480.569924772,7880658.71675889,2010-01-01T21:20:00Z,AG195,TRUE
574658.6835877338,7880477.884955499,2010-01-01T21:40:00Z,AG195,TRUE
574666.915733539,7880424.269328181,2010-01-01T22:00:00Z,AG195,TRUE
574694.054505278,7880337.93214968,2010-01-01T22:20:00Z,AG195,TRUE
574947.2063316288,7880172.100796141,2010-01-01T22:40:00Z,AG195,TRUE
575013.2679506352,7880161.699699221,2010-01-01T23:00:00Z,AG195,TRUE
575010.2490578721,7880155.858527951,2010-01-01T23:20:00Z,AG195,TRUE
575008.0332169129,7880163.29705037,2010-01-01T23:40:00Z,AG195,TRUE
575009.077990599,7880157.214127611,2010-01-02T00:00:00Z,AG195,TRUE
575012.3522344481,7880173.185339669,2010-01-02T00:20:00Z,AG195,TRUE
575005.9105295689,7880167.35816337,2010-01-02T00:40:00Z,AG195,TRUE
575009.432938839,7880165.54267926,2010-01-02T01:00:00Z,AG195,TRUE
575009.9898459519,7880170.94364726,2010-01-02T01:20:00Z,AG195,TRUE
575013.725260635,7880168.90215619,2010-01-02T01:40:00Z,AG195,TRUE
575059.4647195471,7880184.92480247,2010-01-02T02:00:00Z,AG195,TRUE
575106.2877182079,7880204.3199302005,2010-01-02T02:20:00Z,AG195,TRUE
575355.073692932,7880278.94517405,2010-01-02T02:40:00Z,AG195,TRUE
575363.4834375161,7880295.12037463,2010-01-02T03:00:00Z,AG195,TRUE
575360.069848414,7880297.38575051,2010-01-02T03:20:00Z,AG195,TRUE
575355.6824888791,7880296.95350138,2010-01-02T03:40:00Z,AG195,TRUE
575359.834651273,7880292.20860357,2010-01-02T04:00:00Z,AG195,TRUE
575364.5234793101,7880287.91177089,2010-01-02T04:20:00Z,AG195,TRUE
575364.8462198362,7880288.36071585,2010-01-02T04:40:00Z,AG195,TRUE
575363.9784881369,7880285.43752085,2010-01-02T05:00:00Z,AG195,TRUE
575400.1538324201,7880316.582694439,2010-01-02T05:20:00Z,AG195,TRUE
575375.0275778049,7880397.28439542,2010-01-02T05:40:00Z,AG195,TRUE
575780.192369628,7880987.496493131,2010-01-02T06:00:00Z,AG195,TRUE
575364.4334884131,7881333.89044871,2010-01-02T06:20:00Z,AG195,TRUE
575202.776613738,7881563.290644969,2010-01-02T06:40:00Z,AG195,TRUE
574992.0965660561,7881786.58573943,2010-01-02T07:00:00Z,AG195,TRUE
574951.157263262,7881872.97954764,2010-01-02T07:20:00Z,AG195,TRUE
574791.5151687849,7881995.428420549,2010-01-02T07:40:00Z,AG195,TRUE
574720.3590176239,7882043.67180071,2010-01-02T08:00:00Z,AG195,TRUE
574561.4307785691,7882131.89518011,2010-01-02T08:20:00Z,AG195,TRUE
574286.2529135911,7882308.165029371,2010-01-02T08:40:00Z,AG195,TRUE
573855.346839577,7882360.55820646,2010-01-02T09:00:00Z,AG195,TRUE
573635.6090111289,7882438.88668794,2010-01-02T09:20:00Z,AG195,TRUE
573611.7673437119,7882469.15022604,2010-01-02T09:40:00Z,AG195,TRUE
573543.4259186329,7882393.32870905,2010-01-02T10:00:00Z,AG195,TRUE
573542.127177582,7882336.14986221,2010-01-02T10:20:00Z,AG195,TRUE
573539.4582069148,7882337.51135413,2010-01-02T10:40:00Z,AG195,TRUE
573531.6661644339,7882261.67237789,2010-01-02T11:00:00Z,AG195,TRUE
573401.1080212821,7881955.56211733,2010-01-02T11:20:00Z,AG195,TRUE
573278.8735399259,7881643.33915542,2010-01-02T11:40:00Z,AG195,TRUE
572994.775340396,7881433.52041153,2010-01-02T12:00:00Z,AG195,TRUE
572560.79773287,7881056.11559432,2010-01-02T12:20:00Z,AG195,TRUE
572315.9644514068,7880952.394726681,2010-01-02T12:40:00Z,AG195,TRUE
572164.1800766721,7880926.20128935,2010-01-02T13:00:00Z,AG195,TRUE
571966.4873761719,7880867.767454261,2010-01-02T13:20:00Z,AG195,TRUE
571800.4479668521,7880888.679869641,2010-01-02T13:40:00Z,AG195,TRUE
571779.9196837728,7880918.47780758,2010-01-02T14:00:00Z,AG195,TRUE
571690.0807128982,7880757.85849235,2010-01-02T14:20:00Z,AG195,TRUE
571458.092447866,7880791.40770407,2010-01-02T14:40:00Z,AG195,TRUE
571412.992313205,7880801.71427625,2010-01-02T15:00:00Z,AG195,TRUE
571379.200872105,7880776.85593791,2010-01-02T15:20:00Z,AG195,TRUE
571264.1276619609,7880782.93152317,2010-01-02T15:40:00Z,AG195,TRUE
570965.4804899099,7880812.005415749,2010-01-02T16:00:00Z,AG195,TRUE
570666.8674215832,7880905.68747902,2010-01-02T16:20:00Z,AG195,TRUE
570189.8109104629,7881134.67733627,2010-01-02T16:40:00Z,AG195,TRUE
569809.642061707,7881387.60041979,2010-01-02T17:00:00Z,AG195,TRUE
569343.1675287059,7881507.11277459,2010-01-02T17:20:00Z,AG195,TRUE
569339.9529804959,7881449.04076442,2010-01-02T17:40:00Z,AG195,TRUE
569278.5023417899,7881379.25661983,2010-01-02T18:00:00Z,AG195,TRUE
569256.9963975359,7881321.25362364,2010-01-02T18:20:00Z,AG195,TRUE
569288.2709108602,7881274.98345425,2010-01-02T18:40:00Z,AG195,TRUE
569296.874861607,7881230.599889069,2010-01-02T19:00:00Z,AG195,TRUE
569311.7558533009,7881177.18731595,2010-01-02T19:20:00Z,AG195,TRUE
569274.081154496,7881171.47610837,2010-01-02T19:40:00Z,AG195,TRUE
569238.8328461221,7881213.483738849,2010-01-02T20:00:00Z,AG195,TRUE
569211.865064641,7881238.80027652,2010-01-02T20:20:00Z,AG195,TRUE
569187.566276197,7881291.122593349,2010-01-02T20:40:00Z,AG195,TRUE
569197.3537231821,7881418.73573515,2010-01-02T21:00:00Z,AG195,TRUE
569240.0496769751,7881450.99379256,2010-01-02T21:20:00Z,AG195,TRUE
569238.3475102581,7881453.47666873,2010-01-02T21:40:00Z,AG195,TRUE
569302.2711602711,7881498.26191896,2010-01-02T22:00:00Z,AG195,TRUE
569393.455315795,7881623.3161855005,2010-01-02T22:20:00Z,AG195,TRUE
569394.201554545,7881622.63796769,2010-01-02T22:40:00Z,AG195,TRUE
569397.1263452931,7881632.307603469,2010-01-02T23:00:00Z,AG195,TRUE
569480.1010548018,7881736.00492281,2010-01-02T23:20:00Z,AG195,TRUE
569773.546241271,7881825.620438119,2010-01-02T23:40:00Z,AG195,TRUE
569896.9711131919,7881876.03092656,2010-01-03T00:00:00Z,AG195,TRUE
569921.7973441569,7881906.329290861,2010-01-03T00:20:00Z,AG195,TRUE
569933.1595276172,7881912.3645964,2010-01-03T00:40:00Z,AG195,TRUE
569949.7550099458,7881944.270200361,2010-01-03T01:00:00Z,AG195,TRUE
569970.4152337171,7881948.01873387,2010-01-03T01:20:00Z,AG195,TRUE
570015.8487302961,7881968.10747178,2010-01-03T01:40:00Z,AG195,TRUE
570035.658369848,7881973.20997191,2010-01-03T02:00:00Z,AG195,TRUE
570035.4478597558,7881974.11130514,2010-01-03T02:20:00Z,AG195,TRUE
570035.4027135391,7881990.32102194,2010-01-03T02:40:00Z,AG195,TRUE
570214.0276601039,7882012.60236695,2010-01-03T03:00:00Z,AG195,TRUE
570214.2304140229,7882009.67486735,2010-01-03T03:20:00Z,AG195,TRUE
570216.2680598809,7882011.017871231,2010-01-03T03:40:00Z,AG195,TRUE
570215.4208874889,7882013.27243717,2010-01-03T04:00:00Z,AG195,TRUE
570214.454689962,7882012.375601299,2010-01-03T04:20:00Z,AG195,TRUE
570093.9158624259,7882045.9306268,2010-01-03T04:40:00Z,AG195,TRUE
570018.415498033,7882136.27169202,2010-01-03T05:00:00Z,AG195,TRUE
569978.2871386191,7882357.50475364,2010-01-03T05:20:00Z,AG195,TRUE
569996.622376017,7882508.94901641,2010-01-03T05:40:00Z,AG195,TRUE
570061.5654796831,7882539.09427798,2010-01-03T06:00:00Z,AG195,TRUE
570067.77092961,7882539.295738161,2010-01-03T06:20:00Z,AG195,TRUE
570114.1932329088,7882537.76778733,2010-01-03T06:40:00Z,AG195,TRUE
570277.27026217815,7882633.05098498,2010-01-03T07:00:00Z,AG195,TRUE
570301.8653320511,7882630.48040642,2010-01-03T07:20:00Z,AG195,TRUE
570311.255628766,7882708.1151861,2010-01-03T07:40:00Z,AG195,TRUE
570315.0997835139,7882734.215843331,2010-01-03T08:00:00Z,AG195,TRUE
570320.862532005,7882786.424526099,2010-01-03T08:20:00Z,AG195,TRUE
570306.5006127132,7882835.333253011,2010-01-03T08:40:00Z,AG195,TRUE
570263.994850649,7882882.09830877,2010-01-03T09:00:00Z,AG195,TRUE
570255.89467733,7882890.00892576,2010-01-03T09:20:00Z,AG195,TRUE
570250.9123509679,7882901.959999971,2010-01-03T09:40:00Z,AG195,TRUE
570244.5433759771,7882942.95846013,2010-01-03T10:00:00Z,AG195,TRUE
570265.07308285,7883024.15275925,2010-01-03T10:20:00Z,AG195,TRUE
570159.4473771051,7883210.74090996,2010-01-03T10:40:00Z,AG195,TRUE
569964.395774615,7883288.47992941,2010-01-03T11:00:00Z,AG195,TRUE
569461.0848525539,7883722.86808713,2010-01-03T11:20:00Z,AG195,TRUE
569329.455822414,7883967.85830383,2010-01-03T11:40:00Z,AG195,TRUE
569334.7209626739,7883973.91700206,2010-01-03T12:00:00Z,AG195,TRUE
569347.739025918,7883964.86261709,2010-01-03T12:20:00Z,AG195,TRUE
569525.0699960149,7883894.85206723,2010-01-03T12:40:00Z,AG195,TRUE
569660.1401555329,7883852.91634817,2010-01-03T13:00:00Z,AG195,TRUE
569686.1527414359,7883828.728613161,2010-01-03T13:20:00Z,AG195,TRUE
569687.462427353,7883807.336106969,2010-01-03T13:40:00Z,AG195,TRUE
569683.700096142,7883802.622600291,2010-01-03T14:00:00Z,AG195,TRUE
569704.3153683532,7883793.989407841,2010-01-03T14:20:00Z,AG195,TRUE
569704.964950788,7883796.013132321,2010-01-03T14:40:00Z,AG195,TRUE
569703.7915535449,7883796.918110749,2010-01-03T15:00:00Z,AG195,TRUE
569707.5541355599,7883773.490110019,2010-01-03T15:20:00Z,AG195,TRUE
569820.179768544,7883737.71684846,2010-01-03T15:40:00Z,AG195,TRUE
570108.4575309431,7883585.78079607,2010-01-03T16:00:00Z,AG195,TRUE
570189.6754979071,7883534.36573422,2010-01-03T16:20:00Z,AG195,TRUE
570249.9315795288,7883484.83150243,2010-01-03T16:40:00Z,AG195,TRUE
570331.6576380571,7883454.576278031,2010-01-03T17:00:00Z,AG195,TRUE
570371.8764937001,7883452.846369581,2010-01-03T17:20:00Z,AG195,TRUE
570371.9834747228,7883452.84595987,2010-01-03T17:40:00Z,AG195,TRUE
570369.1458516269,7883466.139637331,2010-01-03T18:00:00Z,AG195,TRUE
570394.574595958,7883457.487208959,2010-01-03T18:20:00Z,AG195,TRUE
570381.374471194,7883474.6478340905,2010-01-03T18:40:00Z,AG195,TRUE
570381.0302459751,7883468.570578141,2010-01-03T19:00:00Z,AG195,TRUE
570386.8011932889,7883466.97254692,2010-01-03T19:20:00Z,AG195,TRUE
570406.304564672,7883447.53644311,2010-01-03T19:40:00Z,AG195,TRUE
570424.4775403419,7883443.86468444,2010-01-03T20:00:00Z,AG195,TRUE
570447.296437833,7883452.107114511,2010-01-03T20:20:00Z,AG195,TRUE
570450.0969353061,7883457.04929097,2010-01-03T20:40:00Z,AG195,TRUE
570453.905096785,7883445.77806937,2010-01-03T21:00:00Z,AG195,TRUE
570477.7583289531,7883416.869644821,2010-01-03T21:20:00Z,AG195,TRUE
570478.7193359699,7883388.499271251,2010-01-03T21:40:00Z,AG195,TRUE
570484.0364201982,7883380.14897549,2010-01-03T22:00:00Z,AG195,TRUE
570498.7807519491,7883375.13949713,2010-01-03T22:20:00Z,AG195,TRUE
570483.3479029249,7883367.99446433,2010-01-03T22:40:00Z,AG195,TRUE
570478.261094676,7883352.70496963,2010-01-03T23:00:00Z,AG195,TRUE
570488.6580695051,7883357.84313363,2010-01-03T23:20:00Z,AG195,TRUE
570506.045796149,7883344.7187390495,2010-01-03T23:40:00Z,AG195,TRUE
570474.9264728959,7883320.07355389,2010-01-04T00:00:00Z,AG195,TRUE
570431.318167504,7883302.68043414,2010-01-04T00:20:00Z,AG195,TRUE
570432.3767510501,7883299.74965452,2010-01-04T00:40:00Z,AG195,TRUE
570430.035267806,7883302.91048415,2010-01-04T01:00:00Z,AG195,TRUE
570441.0689034999,7883306.69543887,2010-01-04T01:20:00Z,AG195,TRUE
570432.389695806,7883303.126591649,2010-01-04T01:40:00Z,AG195,TRUE
570428.433153251,7883303.59202259,2010-01-04T02:00:00Z,AG195,TRUE
570435.6862331809,7883297.93590854,2010-01-04T02:20:00Z,AG195,TRUE
570432.789138006,7883295.695689801,2010-01-04T02:40:00Z,AG195,TRUE
570433.9831801509,7883300.1937615,2010-01-04T03:00:00Z,AG195,TRUE
570431.6391081942,7883302.6792039,2010-01-04T03:20:00Z,AG195,TRUE
570436.2349426671,7883301.53592416,2010-01-04T03:40:00Z,AG195,TRUE
570431.732280843,7883299.076727679,2010-01-04T04:00:00Z,AG195,TRUE
570440.4278851548,7883306.92302879,2010-01-04T04:20:00Z,AG195,TRUE
570488.784050374,7883362.7955644,2010-01-04T04:40:00Z,AG195,TRUE
570501.244762274,7883376.03057301,2010-01-04T05:00:00Z,AG195,TRUE
570439.0770742219,7883512.6992414305,2010-01-04T05:20:00Z,AG195,TRUE
570413.4825084709,7883701.45825722,2010-01-04T05:40:00Z,AG195,TRUE
570448.0104679312,7883973.28578773,2010-01-04T06:00:00Z,AG195,TRUE
570592.9224054508,7884321.45976702,2010-01-04T06:20:00Z,AG195,TRUE
570512.3859921449,7884328.072555529,2010-01-04T06:40:00Z,AG195,TRUE
570466.5820465218,7884268.81327512,2010-01-04T07:00:00Z,AG195,TRUE
570453.097514992,7884267.73929866,2010-01-04T07:20:00Z,AG195,TRUE
570452.7705177751,7884266.1646262705,2010-01-04T07:40:00Z,AG195,TRUE
570452.874915116,7884265.48882941,2010-01-04T08:00:00Z,AG195,TRUE
570454.688497346,7884264.131085329,2010-01-04T08:20:00Z,AG195,TRUE
570440.3351083321,7884315.516238481,2010-01-04T08:40:00Z,AG195,TRUE
570442.275487017,7884375.16884052,2010-01-04T09:00:00Z,AG195,TRUE
570448.535915381,7884389.5533126,2010-01-04T09:20:00Z,AG195,TRUE
570458.2414929969,7884381.636490449,2010-01-04T09:40:00Z,AG195,TRUE
570480.4765622579,7884376.82348247,2010-01-04T10:00:00Z,AG195,TRUE
570595.639422097,7884332.48081555,2010-01-04T10:20:00Z,AG195,TRUE
570475.632610807,7884201.68916792,2010-01-04T10:40:00Z,AG195,TRUE
570431.54778964,7884088.391474291,2010-01-04T11:00:00Z,AG195,TRUE
570331.699397554,7883884.803976791,2010-01-04T11:20:00Z,AG195,TRUE
570282.6520736009,7883844.24266151,2010-01-04T11:40:00Z,AG195,TRUE
570382.5113619921,7883575.95304693,2010-01-04T12:00:00Z,AG195,TRUE
570414.7655515411,7883477.8968962,2010-01-04T12:20:00Z,AG195,TRUE
570415.3030458309,7883478.57023375,2010-01-04T12:40:00Z,AG195,TRUE
570416.7835289987,7883474.061912529,2010-01-04T13:00:00Z,AG195,TRUE
570426.9156228341,7883354.252637221,2010-01-04T13:20:00Z,AG195,TRUE
570489.481094864,7883349.284942919,2010-01-04T13:40:00Z,AG195,TRUE
570509.60120544,7883351.2339374,2010-01-04T14:00:00Z,AG195,TRUE
570506.5074089919,7883353.49713387,2010-01-04T14:20:00Z,AG195,TRUE
570508.6461557569,7883353.26379448,2010-01-04T14:40:00Z,AG195,TRUE
570508.6539308111,7883355.28995684,2010-01-04T15:00:00Z,AG195,TRUE
570506.6048869878,7883351.02030275,2010-01-04T15:20:00Z,AG195,TRUE
570547.7491690789,7883339.60575263,2010-01-04T15:40:00Z,AG195,TRUE
570549.0232206101,7883309.207974801,2010-01-04T16:00:00Z,AG195,TRUE
570511.2901341679,7883289.5411584,2010-01-04T16:20:00Z,AG195,TRUE
570496.161879121,7883278.117452191,2010-01-04T16:40:00Z,AG195,TRUE
570496.7648893772,7883267.98417697,2010-01-04T17:00:00Z,AG195,TRUE
570481.8936933628,7883239.89967006,2010-01-04T17:20:00Z,AG195,TRUE
570456.7136408609,7883201.72372572,2010-01-04T17:40:00Z,AG195,TRUE
570411.5337178272,7883164.97520267,2010-01-04T18:00:00Z,AG195,TRUE
570380.529480786,7883198.18846731,2010-01-04T18:20:00Z,AG195,TRUE
570365.7532963181,7883222.78449934,2010-01-04T18:40:00Z,AG195,TRUE
570362.03220979206,7883256.79374637,2010-01-04T19:00:00Z,AG195,TRUE
570387.7246457852,7883261.19798691,2010-01-04T19:20:00Z,AG195,TRUE
570337.0791665071,7883249.9101834,2010-01-04T19:40:00Z,AG195,TRUE
570275.0870044241,7883236.86458617,2010-01-04T20:00:00Z,AG195,TRUE
570264.103795224,7883302.19498128,2010-01-04T20:20:00Z,AG195,TRUE
570261.4426009839,7883361.6401013695,2010-01-04T20:40:00Z,AG195,TRUE
570331.202657532,7883335.70812369,2010-01-04T21:00:00Z,AG195,TRUE
570365.8462741671,7883302.931285821,2010-01-04T21:20:00Z,AG195,TRUE
570505.2813832349,7883340.669287929,2010-01-04T21:40:00Z,AG195,TRUE
570519.2234041491,7883349.62108353,2010-01-04T22:00:00Z,AG195,TRUE
570513.0772828521,7883364.95367849,2010-01-04T22:20:00Z,AG195,TRUE
570502.154292864,7883417.90171948,2010-01-04T22:40:00Z,AG195,TRUE
570433.370795528,7883475.34913543,2010-01-04T23:00:00Z,AG195,TRUE
570378.4212471021,7883485.69063181,2010-01-04T23:20:00Z,AG195,TRUE
570371.9964073689,7883456.2228960805,2010-01-04T23:40:00Z,AG195,TRUE
570357.7195550759,7883471.58656798,2010-01-05T00:00:00Z,AG195,TRUE
570234.3593595221,7883525.18971212,2010-01-05T00:20:00Z,AG195,TRUE
570226.142434067,7883530.624291221,2010-01-05T00:40:00Z,AG195,TRUE
570226.2433930131,7883529.04797933,2010-01-05T01:00:00Z,AG195,TRUE
570227.5357748641,7883531.294363311,2010-01-05T01:20:00Z,AG195,TRUE
570223.790561485,7883531.08354369,2010-01-05T01:40:00Z,AG195,TRUE
570224.6472738519,7883531.30540203,2010-01-05T02:00:00Z,AG195,TRUE
570225.0803620319,7883532.654540751,2010-01-05T02:20:00Z,AG195,TRUE
570228.3104568771,7883538.04537174,2010-01-05T02:40:00Z,AG195,TRUE
570223.785399521,7883529.732769521,2010-01-05T03:00:00Z,AG195,TRUE
570228.8100887568,7883528.81303793,2010-01-05T03:20:00Z,AG195,TRUE
570226.0259886051,7883528.14828094,2010-01-05T03:40:00Z,AG195,TRUE
570226.2425326551,7883528.822850339,2010-01-05T04:00:00Z,AG195,TRUE
570202.489725558,7883556.15461622,2010-01-05T04:20:00Z,AG195,TRUE
570055.667763823,7883685.71568515,2010-01-05T04:40:00Z,AG195,TRUE
569675.7711405349,7883742.99267949,2010-01-05T05:00:00Z,AG195,TRUE
569330.4602877379,7883978.88597388,2010-01-05T05:20:00Z,AG195,TRUE
569330.7880331641,7883980.685792161,2010-01-05T05:40:00Z,AG195,TRUE
569546.947138251,7884021.74369628,2010-01-05T06:00:00Z,AG195,TRUE
569681.883248586,7884113.53673974,2010-01-05T06:20:00Z,AG195,TRUE
569778.815918396,7884086.153187001,2010-01-05T06:40:00Z,AG195,TRUE
570012.0918550591,7884042.04078345,2010-01-05T07:00:00Z,AG195,TRUE
570013.586207196,7884041.13456304,2010-01-05T07:20:00Z,AG195,TRUE
570013.368808223,7884040.234862719,2010-01-05T07:40:00Z,AG195,TRUE
570086.088186472,7884032.07810283,2010-01-05T08:00:00Z,AG195,TRUE
570179.102797527,7884071.57159429,2010-01-05T08:20:00Z,AG195,TRUE
570303.8333555469,7884151.46714729,2010-01-05T08:40:00Z,AG195,TRUE
570311.5414525631,7884152.78845822,2010-01-05T09:00:00Z,AG195,TRUE
570313.5784761349,7884153.9063274,2010-01-05T09:20:00Z,AG195,TRUE
570370.7317058882,7884187.68258415,2010-01-05T09:40:00Z,AG195,TRUE
570455.3286865458,7884263.678367291,2010-01-05T10:00:00Z,AG195,TRUE
570599.138843649,7884324.362614481,2010-01-05T10:20:00Z,AG195,TRUE
570622.3550106661,7884157.22526174,2010-01-05T10:40:00Z,AG195,TRUE
570738.073139103,7884035.20881797,2010-01-05T11:00:00Z,AG195,TRUE
570859.5846623579,7883862.28929633,2010-01-05T11:20:00Z,AG195,TRUE
570936.5648764662,7883655.54578243,2010-01-05T11:40:00Z,AG195,TRUE
570979.9101582931,7883632.18975884,2010-01-05T12:00:00Z,AG195,TRUE
571034.089188236,7883588.52981687,2010-01-05T12:20:00Z,AG195,TRUE
571154.5306439361,7883555.19448563,2010-01-05T12:40:00Z,AG195,TRUE
571159.3535440199,7883557.42713739,2010-01-05T13:00:00Z,AG195,TRUE
571154.1149206529,7883558.347953221,2010-01-05T13:20:00Z,AG195,TRUE
571121.739405504,7883430.59790853,2010-01-05T13:40:00Z,AG195,TRUE
570985.512489418,7883337.694618311,2010-01-05T14:00:00Z,AG195,TRUE
570942.1036024902,7883344.3911163695,2010-01-05T14:20:00Z,AG195,TRUE
570813.7023856181,7883366.27401365,2010-01-05T14:40:00Z,AG195,TRUE
570762.9247198032,7883376.37546922,2010-01-05T15:00:00Z,AG195,TRUE
570708.403119336,7883414.40762504,2010-01-05T15:20:00Z,AG195,TRUE
570654.0941782299,7883368.6894959,2010-01-05T15:40:00Z,AG195,TRUE
570650.2070262409,7883331.55757531,2010-01-05T16:00:00Z,AG195,TRUE
570595.798132823,7883259.72429587,2010-01-05T16:20:00Z,AG195,TRUE
570549.6629551412,7883252.92239347,2010-01-05T16:40:00Z,AG195,TRUE
570511.1138853489,7883243.61480772,2010-01-05T17:00:00Z,AG195,TRUE
570488.9523950608,7883183.58946876,2010-01-05T17:20:00Z,AG195,TRUE
570448.9506804539,7883185.99422021,2010-01-05T17:40:00Z,AG195,TRUE
570406.4245884519,7883143.83233051,2010-01-05T18:00:00Z,AG195,TRUE
570418.5632357579,7883073.09421023,2010-01-05T18:20:00Z,AG195,TRUE
570441.9993806878,7883075.03055759,2010-01-05T18:40:00Z,AG195,TRUE
570463.809168868,7883043.42836884,2010-01-05T19:00:00Z,AG195,TRUE
570619.1185926831,7883008.83700298,2010-01-05T19:20:00Z,AG195,TRUE
570712.2569696461,7882942.5148780905,2010-01-05T19:40:00Z,AG195,TRUE
570711.610767716,7882941.39170222,2010-01-05T20:00:00Z,AG195,TRUE
570703.009190987,7882930.168177001,2010-01-05T20:20:00Z,AG195,TRUE
570716.3917499421,7882877.2104918,2010-01-05T20:40:00Z,AG195,TRUE
570687.216688646,7882857.28597408,2010-01-05T21:00:00Z,AG195,TRUE
